===== Block 5 Diamond Ladder Ranking =====
    Ticker  FII_Change  DII_Change  Prom_Change  P_E EPS_TTM  SalesGrowth  ProfitGrowth ROCE
    DOLLAR        1.84       -8.49        15.36 None    None        10.53        -18.52 None
     GICRE        1.82        1.50        -3.38 None    None        15.63        247.19 None
 STYLAMIND        1.80       12.30        -6.64 None    None        20.43         33.33 None
CONCORDBIO        1.80        0.73         0.00 None    None        12.71        -10.20 None
       SFL        1.79       13.26       -19.99 None    None        17.23        -83.16 None
    5PAISA        1.79       -0.14         2.74 None    None        -7.14         71.43 None
      MMFL        1.79       -7.49        -0.08 None    None         5.23        -32.14 None
  DCMSRIND        1.78        5.62         5.59 None    None       -29.62          6.25 None
    512038        1.74        1.43        -8.67 None    None          NaN           NaN None
   MONARCH        1.74       -1.55       -12.90 None    None       196.97        275.00 None
       RCF        1.74       -6.60        -5.00 None    None       -32.00        -82.00 None
        LT        1.73        4.19          NaN None    None        77.61         93.81 None
     NOCIL        1.72        2.92        -3.21 None    None       -33.99        -74.24 None
     IXIGO        1.72        1.00          NaN None    None       129.20        280.00 None
 AKZOINDIA        1.72        0.23         1.80 None    None         6.08         18.18 None
MOREPENLAB        1.72      -17.54         1.12 None    None        40.73         83.33 None
  JYOTICNC        1.71        4.44         0.00 None    None        71.55        384.00 None
     REPRO        1.71        0.07       -14.92 None    None        10.44      -1705.88 None
    HITECH        1.70       16.08       -16.54 None    None        53.29        425.00 None
 COALINDIA        1.70       10.99       -15.73 None    None         2.14         -1.13 None
  LANDMARK        1.69        5.35        -3.67 None    None        32.67        -59.39 None
   SARDAEN        1.69        3.07         1.63 None    None        29.50        152.60 None
  MAHABANK        1.64       -2.71        -2.01 None    None          NaN           NaN None
   ALLETEC        1.61        1.01         0.04 None    None        51.09        115.70 None
   WANBURY        1.59       -2.43       -16.48 None    None        39.32        285.71 None
AARTIDRUGS        1.56        5.51        -7.23 None    None        -4.98         54.29 None
    ENVIRO        1.54       -6.19         0.00 None    None          NaN           NaN None
JYOTISTRUC        1.54      -12.03       -18.35 None    None       875.00           NaN None
GALAXYSURF        1.53        4.60        -0.01 None    None        10.27        -21.00 None
      GAEL        1.52        0.03        -2.34 None    None         1.41        -43.48 None
  DEEPINDS        1.50       -4.71        -0.50 None    None       173.97        210.00 None
    526783        1.49        2.31        -2.96 None    None          NaN           NaN None
      DYCL        1.49        1.64        -5.27 None    None          NaN           NaN None
    GESHIP        1.48       -4.34        -0.14 None    None       -12.08         10.28 None
      SDBL        1.47        0.04        16.40 None    None       107.87         61.54 None
      BEPL        1.44       -0.62         1.79 None    None        -8.61         -4.17 None
 GOKULAGRO        1.44       -1.36        -0.81 None    None        71.93        157.14 None
 SUTLEJTEX        1.43       -1.00         0.06 None    None       -28.49       -166.67 None
SUNDARMHLD        1.43       -7.93         2.06 None    None       842.11        285.37 None
   REDTAPE        1.42        3.83         0.03 None    None        51.63         39.29 None
      BASF        1.38       -0.62         0.00 None    None        86.84       6750.00 None
  KRISHANA        1.37         NaN        14.61 None    None          NaN           NaN None
    539469        1.35        0.20        63.20 None    None       308.11        184.75 None
       AGI        1.35      -25.33        11.80 None    None        14.86         23.61 None
   MIDHANI        1.34       -9.64         0.00 None    None        47.83        -27.78 None
ADANIGREEN        1.32        2.62       -24.59 None    None       132.42        285.05 None
 WAAREERTL        1.31        0.14        29.95 None    None       534.74        760.00 None
      LTTS        1.30       12.78       -16.18 None    None        42.87         14.49 None
PREMIERENE        1.30        6.25         0.00 None    None       198.04        893.55 None
      ADSL        1.29       -0.11         3.06 None    None        43.14        100.00 None
WAAREEENER        1.28        0.16         0.00 None    None        32.99        128.70 None
   RPGLIFE        1.27        6.24         5.47 None    None          NaN           NaN None
     KOVAI        1.27        3.77         6.77 None    None          NaN           NaN None
KELLTONTEC        1.27        0.00       -21.55 None    None        35.94         43.75 None
  RICOAUTO        1.27       -5.87         0.23 None    None        -3.55         70.00 None
   KIRLFER        1.21        8.85        -8.66 None    None        13.65         -6.86 None
     ISGEC        1.21        7.63         0.16 None    None         7.54        255.56 None
  IIFLCAPS        1.16        1.04         1.25 None    None       111.30        309.30 None
 QUICKHEAL        1.16      -12.67        -1.08 None    None        -6.30      -3161.11 None
PDMJEPAPER        1.14       -0.06         4.67 None    None          NaN           NaN None
     NESCO        1.13       -1.74         0.37 None    None       112.09         77.78 None
 IRMENERGY        1.13       -6.94         0.00 None    None        21.86        -33.33 None
MAITHANALL        1.12        0.12         4.27 None    None       -35.18        145.66 None
 GEOJITFSL        1.12       -1.28       -10.61 None    None        50.00         31.82 None
    512329        1.10        4.34       -38.53 None    None    114300.00           NaN None
SHREDIGCEM        1.10        1.99       -20.34 None    None        21.74        -17.65 None
    SIYSIL        1.10       -5.90         0.38 None    None        -2.42        -84.96 None
BAJAJHCARE        1.09        3.16        -8.07 None    None          NaN           NaN None
BFUTILITIE        1.09       -0.10        -9.66 None    None        48.94         82.61 None
      HEXT        1.08        0.11         3.04 None    None       149.31        151.66 None
INDIGOPNTS        1.04       16.14        -0.07 None    None        37.95         30.00 None
HONDAPOWER        1.04       13.28        -1.00 None    None          NaN           NaN None
     CLEAN        1.03        1.90        -3.55 None    None         3.85         11.11 None
  PIXTRANS        1.03        0.54         0.93 None    None         1.67         55.56 None
      PDSL        1.03        0.04        -5.24 None    None        28.16        -54.55 None
       IKS        1.02       -0.12         0.00 None    None        30.51         49.02 None
      RIIL        1.02       -0.35         0.00 None    None       -24.58        119.86 None
    506685        1.01        1.11       -12.06 None    None        40.46         17.65 None
   MOSCHIP        1.01       -3.83       -20.09 None    None       223.81        450.00 None
   SANDUMA        1.00       -0.26         1.79 None    None        74.08        391.18 None
LATENTVIEW        0.99        1.11        -2.01 None    None        96.67         64.52 None
SHAREINDIA        0.98        0.39       -23.95 None    None        47.62         42.37 None
CAPLIPOINT        0.97        1.76         1.50 None    None        47.40         75.58 None
      NBCC        0.97        1.23       -13.25 None    None        32.91       2800.00 None
    LUXIND        0.95        4.86         0.48 None    None         6.15        -54.00 None
  TCPLPACK        0.94       11.59        -2.68 None    None        24.27          0.00 None
       TCI        0.94        3.77         2.65 None    None        26.14         35.44 None
    CENTUM        0.94        3.69        -7.90 None    None        31.14        274.32 None
    500012        0.93       -0.02        -0.01 None    None          NaN           NaN None
    505890        0.93       -1.54         0.00 None    None        23.04         60.00 None
       KSB        0.92       -3.39         3.39 None    None        48.88         48.94 None
      BETA        0.90        0.26        -2.16 None    None       287.23        260.00 None
 20MICRONS        0.88        0.12         0.74 None    None        32.80         30.77 None
     NIACL        0.88       -2.25         0.00 None    None        36.35        193.43 None
     MUFIN        0.85       11.85       -10.71 None    None       131.52        -21.70 None
    530997        0.84         NaN        -1.72 None    None          NaN           NaN None
    543766        0.81        0.00        24.35 None    None          NaN           NaN None
      LINC        0.80       -1.90         1.16 None    None        10.50         -7.22 None
      ONGC        0.79        7.89        -9.18 None    None       -10.82         34.65 None
    505710        0.79        0.00         0.01 None    None        27.14         51.72 None
    RENUKA        0.78        6.14         8.01 None    None         2.92       -131.58 None
VADILALIND        0.77        0.21        -0.44 None    None        29.41         36.73 None
    VEEDOL        0.77      -10.02         6.74 None    None        17.08         47.06 None
  PRECWIRE        0.76       -0.03        -1.74 None    None         1.10        156.84 None
  PICCADIL        0.73        0.01         0.07 None    None        16.30        125.00 None
RANEHOLDIN        0.73      -10.30         0.16 None    None        64.14        171.43 None
 CENTRALBK        0.72       -9.16         7.99 None    None          NaN           NaN None
       UFO        0.70      -31.20        -5.38 None    None        18.45        355.69 None
  APARINDS        0.69        3.39        -0.19 None    None        65.02        115.57 None
 INGERRAND        0.69        0.76         1.00 None    None          NaN           NaN None
 LLOYDSENT        0.69        0.11        -5.28 None    None       549.02       4880.00 None
 DIVGIITTS        0.68       -2.52         0.07 None    None          NaN           NaN None
   SKYGOLD        0.66        8.62       -21.81 None    None       261.34        780.00 None
 TINNARUBR        0.66        5.90        -6.23 None    None        58.54        100.00 None
    KINGFA        0.66        0.14         0.00 None    None          NaN           NaN None
  INNOVANA        0.65        0.50         0.06 None    None       128.57        333.33 None
   RAILTEL        0.65       -4.46         0.00 None    None       111.66        134.48 None
     THEJO        0.65      -19.16        -3.62 None    None        21.61        -15.73 None
      KPEL        0.63        0.98       -24.56 None    None        75.20        150.00 None
   SUNFLAG        0.60        0.04         2.10 None    None        12.93        -93.16 None
       DVL        0.60       -3.89         2.70 None    None       343.59        -59.66 None
    WHEELS        0.57        3.73       -16.69 None    None        11.64        210.00 None
TALBROAUTO        0.57       -2.14         1.80 None    None        35.29         83.33 None
      SEPC        0.56      -51.70        -2.47 None    None       242.37        154.84 None
    500264        0.55       -2.26        -5.33 None    None       223.76        187.50 None
    ZODIAC        0.54        0.34        -2.55 None    None        23.58         12.45 None
  EMAMIPAP        0.54        0.00         0.01 None    None          NaN           NaN None
    KERNEX        0.52        1.11       -10.73 None    None      5549.49        321.19 None
  AJAXENGG        0.52        1.02         0.00 None    None          NaN           NaN None
 OSIAHYPER        0.52         NaN       -15.46 None    None          NaN           NaN None
 PREMEXPLN        0.51        1.80        -6.34 None    None       173.08       1400.00 None
   VENKEYS        0.51        0.09         0.00 None    None          NaN           NaN None
      IRIS        0.50       11.06        -4.63 None    None        79.45        -65.15 None
APCOTEXIND        0.50        0.93         0.33 None    None        19.88        -38.30 None
  VASCONEQ        0.50       -0.45        -5.28 None    None         9.95        100.00 None
  INDORAMA        0.50      -12.06         2.97 None    None        10.77         35.90 None
    CAMPUS        0.49        5.24        -1.90 None    None        22.91        190.00 None
PILANIINVS        0.49        0.23         0.40 None    None       -16.75       -108.84 None
   KSOLVES        0.49        0.01        -9.07 None    None       128.16         21.55 None
      TIIL        0.48        4.53        -1.29 None    None        17.44          9.33 None
      KMEW        0.48        0.15       -12.58 None    None       -60.98        -54.17 None
  KHAICHEM        0.48       -0.01        -2.44 None    None          NaN           NaN None
INSECTICID        0.48       -2.47         3.55 None    None        23.17         52.63 None
    SCHAND        0.48      -13.07         0.41 None    None        -3.74       -333.33 None
 ANDHRAPAP        0.47        1.83        -2.55 None    None          NaN           NaN None
   AVANTEL        0.47        0.18        -0.32 None    None        92.33        -26.26 None
    BCLIND        0.46        0.05         7.01 None    None       111.20         83.33 None
 RAMASTEEL        0.46       -0.70       -11.68 None    None        11.71         17.02 None
  INFOBEAN        0.45       -6.25         0.85 None    None        16.67         91.67 None
    VOLTAS        0.44        6.94         0.00 None    None        42.30         28.18 None
    500168        0.44        0.87         0.00 None    None          NaN           NaN None
    MCLOUD        0.44        0.00        -5.86 None    None       100.00        180.00 None
TRANSRAILL        0.43       -2.71         0.00 None    None        69.91        130.43 None
      BTML        0.42        8.80       -44.37 None    None       425.07        630.00 None
 AUTOAXLES        0.42        0.52         0.00 None    None          NaN           NaN None
 ORIENTHOT        0.42       -8.37         5.45 None    None        21.49        -33.30 None
  RTNINDIA        0.41        0.10        10.71 None    None       235.70        332.41 None
   SYNCOMF        0.41        0.00        11.59 None    None       129.41        300.00 None
COCHINSHIP        0.41       -4.78        -7.09 None    None       142.40        347.62 None
       FSL        0.40       17.11        -1.23 None    None        50.68         98.82 None
   HYUNDAI        0.38        0.62         0.00 None    None        -1.27          3.01 None
  STEELCAS        0.37        0.86        -0.79 None    None          NaN           NaN None
    505358        0.37        0.01        -0.23 None    None        65.51        240.94 None
WSTCSTPAPR        0.37       -0.52         0.75 None    None       -14.27        -71.29 None
 STEELXIND        0.37       -2.56         2.48 None    None          NaN           NaN None
   MAANALU        0.37       -5.52        -6.45 None    None       -29.82       -250.00 None
 RUSTOMJEE        0.36       10.39        -8.37 None    None        61.54        300.00 None
DDEVPLSTIK        0.36        1.15         0.15 None    None          NaN           NaN None
WALCHANNAG        0.36       -4.34       -23.24 None    None          NaN           NaN None
    EXXARO        0.35       -4.86         0.00 None    None        -3.94        -25.00 None
   TEXRAIL        0.35      -12.12        -4.20 None    None       204.68        238.10 None
    531859        0.35         NaN         2.84 None    None       193.43         57.80 None
 BAJAJELEC        0.34        8.77        -0.68 None    None        -5.72        -97.79 None
PUNJABCHEM        0.34        0.32        -5.58 None    None        17.65          5.00 None
 MATRIMONY        0.34      -15.27         2.92 None    None        -0.59        -29.71 None
       IPL        0.32       -1.06        -2.94 None    None        26.15        -14.63 None
    538119        0.32         NaN       -16.61 None    None       -12.31         17.74 None
PARACABLES        0.31       -0.64        -2.52 None    None       175.00        157.14 None
STARCEMENT        0.31       -2.32       -11.23 None    None        37.14         44.12 None
      DCAL        0.30      -11.57        -2.08 None    None        30.87        475.00 None
      PGIL        0.29        6.68        -3.80 None    None        44.30         83.33 None
    532468        0.29        0.01         0.00 None    None        -1.38        -28.52 None
      CIFL        0.28         NaN        30.97 None    None       -12.01         76.01 None
METROBRAND        0.27        2.81        -2.40 None    None        23.62         -6.60 None
    SAHANA        0.27        0.53        -5.69 None    None      1542.86       1150.00 None
   VERANDA        0.26        0.12       -25.71 None    None       394.04        129.70 None
ORCHPHARMA        0.25       15.24        43.16 None    None        32.06        200.00 None
ARTEMISMED        0.24        3.54        -3.29 None    None        52.69        162.50 None
      RUPA        0.23        4.18        -0.01 None    None       -14.33        -55.66 None
  CONFIPET        0.22        0.08         6.42 None    None       213.24         42.86 None
ADVANIHOTR        0.22       -0.08         0.07 None    None       -28.98        -77.55 None
 ACMESOLAR        0.22       -0.36         0.00 None    None        38.48         59.76 None
DPABHUSHAN        0.21        0.01         1.53 None    None        86.19        133.09 None
DATAMATICS        0.21       -0.05        -6.70 None    None        43.12         16.28 None
VALIANTORG        0.21       -2.16       -14.09 None    None       -23.14        -51.54 None
EIMCOELECO        0.21       -4.47        -0.42 None    None       121.05           NaN None
      FACT        0.20        0.05         0.00 None    None       -19.31        -96.88 None
KOKUYOCMLN        0.20       -0.07         0.00 None    None          NaN           NaN None
     GPECO        0.20       -2.32        -0.55 None    None       270.45        500.00 None
     PAKKA        0.19        8.58         1.58 None    None        -5.28       -114.94 None
  GUFICBIO        0.19        3.31         2.53 None    None         4.19        -43.48 None
      MSPL        0.18       16.41       -36.66 None    None        13.76        220.00 None
UNIVCABLES        0.18        4.15         0.06 None    None        16.73         22.22 None
    500672        0.18       -0.81        -2.72 None    None          NaN           NaN None
      DSSL        0.17        0.24        24.58 None    None       105.62        300.00 None
   CARRARO        0.17       -0.91         0.00 None    None        13.33         52.63 None
ARIHANTSUP        0.17       -2.33        -3.04 None    None        35.96         45.45 None
    ALICON        0.16       11.88       -16.99 None    None        21.73        -13.56 None
   RUCHIRA        0.16       -0.11         7.53 None    None          NaN           NaN None
     IREDA        0.16       -1.42        -3.24 None    None          NaN           NaN None
PLASTIBLEN        0.16       -1.85         0.78 None    None          NaN           NaN None
    507944        0.15       -0.01        11.65 None    None        16.21          2.21 None
 INTERARCH        0.15       -2.36         0.00 None    None          NaN           NaN None
    PRECAM        0.15      -12.88         1.46 None    None       -18.75        375.00 None
    SASKEN        0.14        1.17         0.93 None    None       171.29        -33.33 None
  RAJRATAN        0.14        0.78         2.85 None    None        -1.59        -60.00 None
   DPSCLTD        0.14        0.00        -0.13 None    None        10.10          7.39 None
 TARACHAND        0.14        0.00        -2.05 None    None          NaN           NaN None
      RPEL        0.14        0.00       -10.35 None    None        75.76        140.00 None
     ESTER        0.14       -0.06         3.59 None    None         4.29       -117.22 None
 SANGHIIND        0.14       -4.30         0.02 None    None          NaN           NaN None
  FMGOETZE        0.14      -13.09         0.00 None    None        20.40        114.29 None
 JINDWORLD        0.13        0.05        -1.26 None    None       -15.49        -59.52 None
      ROTO        0.13       -0.50        -3.08 None    None        62.83         11.50 None
UTTAMSUGAR        0.13       -1.59        -0.61 None    None        36.74        -51.61 None
     GIPCL        0.13       -5.33        -1.64 None    None          NaN           NaN None
       SRF        0.12        8.10        -2.12 None    None        -1.95        -28.95 None
 BANARISUG        0.12       -0.02        -0.01 None    None          NaN           NaN None
SRHHYPOLTD        0.12       -0.25         4.30 None    None       -68.42        -38.89 None
     AGIIL        0.12       -1.69         0.41 None    None        64.29         81.82 None
 MUKANDLTD        0.12       -4.13         3.02 None    None       -22.88         16.00 None
  CROMPTON        0.11       39.35       -34.38 None    None         7.25         -1.59 None
HAPPYFORGE        0.11       11.15        -0.06 None    None        17.22         29.41 None
    HATSUN        0.11       10.04        -1.54 None    None       385.93       1250.00 None
  MUNJALAU        0.11       -0.10         0.00 None    None         2.08        -57.78 None
  BFINVEST        0.11       -1.33         0.67 None    None       125.00          8.57 None
      MMTC        0.11       -4.12         0.00 None    None       -99.93        136.07 None
     PRIMO        0.11      -22.51        -2.14 None    None       -23.79        -91.50 None
     MBAPL        0.11         NaN        13.98 None    None          NaN           NaN None
 BATAINDIA        0.10        8.06        -2.80 None    None        -0.11        -56.30 None
 NAHARPOLY        0.10        0.26         2.08 None    None       -12.05        -25.00 None
    DONEAR        0.10       -0.28         1.01 None    None       -19.08        -44.63 None
HINDWAREAP        0.10      -15.01         2.53 None    None       -21.68       -363.64 None
    AJMERA        0.09        1.62         5.71 None    None       398.08        225.00 None
 DOLATALGO        0.09        0.01         0.04 None    None        52.05          0.00 None
     KRITI        0.09        0.00         2.96 None    None        22.08        179.69 None
 THEMISMED        0.09        0.00         0.16 None    None         4.26       -182.35 None
 HUHTAMAKI        0.09       -5.68        -1.04 None    None        86.12         -5.88 None
    514448        0.08        1.22        10.29 None    None          NaN           NaN None
      KRBL        0.08        0.48         1.36 None    None        28.99         -7.93 None
    506854        0.08        0.30         0.84 None    None          NaN           NaN None
    MARINE        0.08        0.07        -5.07 None    None       101.20        300.00 None
    519421        0.08         NaN        -3.22 None    None          NaN           NaN None
     SGFIN        0.07        4.64         0.90 None    None          NaN           NaN None
NAHARSPING        0.07        0.46         2.59 None    None          NaN           NaN None
    523475        0.07        0.01         0.00 None    None       337.36       4605.00 None
      ADOR        0.07       -4.75        -2.98 None    None        44.50       -137.33 None
    511628        0.06        0.06        20.16 None    None          NaN           NaN None
    AVTNPL        0.06        0.03         0.65 None    None       -11.41        -52.00 None
 SPORTKING        0.06        0.00         5.46 None    None          NaN           NaN None
SARVESHWAR        0.06       -0.75       -22.25 None    None        52.65        151.07 None
 SUMMITSEC        0.06       -3.78         0.65 None    None        12.00         66.67 None
  BHAGCHEM        0.05        2.89        -3.34 None    None         1.69        -66.55 None
     YUKEN        0.05        1.32         5.55 None    None        11.94         22.80 None
     TEMBO        0.05        0.22       -31.36 None    None       367.92       1800.00 None
BIRLACABLE        0.05        0.00         0.00 None    None        19.33        -52.78 None
  KANPRPLA        0.05        0.00        -1.93 None    None        23.50         66.67 None
 JAYAGROGN        0.05       -0.13         1.36 None    None       -28.89        -23.81 None
  GALLANTT        0.05         NaN         6.47 None    None        10.48        596.00 None
  LIKHITHA        0.05         NaN        -3.86 None    None        50.62          0.00 None
 FOSECOIND        0.04        0.56         0.00 None    None          NaN           NaN None
NAHARINDUS        0.04       -0.29         2.69 None    None       -14.67        -84.48 None
QUADFUTURE        0.04       -2.34         0.00 None    None          NaN           NaN None
 DIGISPICE        0.04         NaN        -1.40 None    None       -53.00        269.44 None
    VGUARD        0.03       11.55       -10.89 None    None        44.01         39.62 None
PIDILITIND        0.03        2.23        -0.24 None    None        21.03         89.39 None
       RML        0.03        0.93        12.65 None    None        60.47        733.33 None
BIRLAMONEY        0.03        0.05        -1.47 None    None        33.10         38.01 None
  BHARATSE        0.03        0.00         0.28 None    None          NaN           NaN None
    506687        0.03       -2.00         2.23 None    None       -27.01          0.00 None
JAYNECOIND        0.03       -2.14       -13.64 None    None          NaN           NaN None
      NPST        0.03       -9.08         0.01 None    None       891.74       4693.33 None
ARIHANTCAP        0.03         NaN        -4.25 None    None        45.71         85.71 None
 JAIBALAJI        0.02        0.11        -0.29 None    None        -9.23        222.73 None
  OMINFRAL        0.02        0.11        -3.69 None    None       -28.02       -117.10 None
    517467        0.02        0.00        29.47 None    None      4956.99        356.55 None
JINDALPHOT        0.02        0.00         1.48 None    None          NaN          4.00 None
   JUBLCPL        0.02        0.00         0.00 None    None        50.85        309.52 None
TPLPLASTEH        0.02       -0.03        -0.14 None    None       108.58        203.89 None
    500365        0.02       -0.04       -31.63 None    None          NaN           NaN None
       OAL        0.02       -0.06        16.51 None    None        -3.44        -94.05 None
  VIDHIING        0.02       -0.06         0.01 None    None       -27.27         18.18 None
PREMIERPOL        0.02       -0.64        19.79 None    None          NaN           NaN None
   TARSONS        0.02       -7.72         0.00 None    None        51.69        -91.54 None
BAJAJINDEF        0.02         NaN         0.00 None    None        -7.15        -49.91 None
  INDOAMIN        0.02         NaN       -15.43 None    None        11.63        262.50 None
 NITINSPIN        0.01       15.63        -7.66 None    None          NaN           NaN None
     SOLEX        0.01        0.79        -4.28 None    None       318.28       2900.00 None
    509438        0.01        0.02         0.03 None    None          NaN           NaN None
    506414        0.01        0.00         1.49 None    None        47.83        833.33 None
   ORBTEXP        0.01       -1.26         4.32 None    None        28.85         25.00 None
   FOODSIN        0.00        1.25       -18.00 None    None         7.38          1.14 None
    543230        0.00        0.72        -6.07 None    None       322.96        425.29 None
    506532        0.00        0.23         0.01 None    None         3.73         46.15 None
  MASTERTR        0.00        0.05         0.31 None    None        67.09        107.69 None
RADHIKAJWE        0.00        0.00         1.78 None    None          NaN           NaN None
    530245        0.00        0.00         1.75 None    None       222.22       1200.00 None
    AMDIND        0.00        0.00         0.18 None    None          NaN           NaN None
    515043        0.00       -0.01         0.00 None    None          NaN           NaN None
INSPIRISYS        0.00       -0.10        -5.05 None    None        -5.10        332.58 None
HITECHGEAR        0.00       -0.14         0.89 None    None       -26.12       1521.62 None
OSWALSEEDS        0.00       -0.24        -3.35 None    None       -22.72         30.47 None
HARRMALAYA        0.00       -0.27         3.82 None    None         7.23         23.40 None
VINYLINDIA        0.00       -0.30        -0.01 None    None          NaN           NaN None
    507753        0.00       -0.71         9.02 None    None          NaN           NaN None
 HESTERBIO        0.00       -1.47        -0.34 None    None        64.71        325.00 None
SHALPAINTS        0.00       -1.87        12.66 None    None        39.09        -70.00 None
      ITDC        0.00       -1.97         0.00 None    None        -8.85         -7.50 None
KOTHARIPET        0.00       -2.55         0.01 None    None          NaN           NaN None
    526173        0.00       -2.60         0.00 None    None        -1.75        322.22 None
      BRNL        0.00       -3.05       -13.13 None    None       -32.35           NaN None
    AHLADA        0.00      -10.58        -1.06 None    None          NaN           NaN None
 BUTTERFLY        0.00      -12.37         9.87 None    None          NaN           NaN None
CYBERMEDIA        0.00         NaN        15.74 None    None        51.70        105.56 None
    539594        0.00         NaN         4.15 None    None       116.85       2666.67 None
     BSHSL        0.00         NaN         0.72 None    None          NaN           NaN None
    514183        0.00         NaN         0.00 None    None       -50.05         -2.10 None
    524520        0.00         NaN         0.00 None    None          NaN           NaN None
     IBLFL        0.00         NaN         0.00 None    None          NaN           NaN None
    512267        0.00         NaN        -1.39 None    None        30.28        217.54 None
    530585        0.00         NaN        -3.54 None    None        25.80         59.71 None
      BANG        0.00         NaN        -5.46 None    None        85.34         69.00 None
    542034        0.00         NaN       -28.73 None    None          NaN           NaN None
    522195       -0.01        0.12         1.16 None    None        10.01         15.09 None
    506945       -0.01        0.01         0.00 None    None          NaN           NaN None
 ITCHOTELS       -0.01       -0.99        -0.01 None    None        15.58         54.02 None
    505036       -0.01       -1.16        -3.73 None    None          NaN           NaN None
 IFGLEXPOR       -0.02        7.57         0.01 None    None        26.46        -26.67 None
   APTECHT       -0.02        2.53        -1.95 None    None       115.05        123.59 None
       GNA       -0.02       -2.61        -1.70 None    None        -8.27        -14.81 None
  ROSSTECH       -0.03       -0.27        -0.01 None    None        45.29        -54.10 None
   EMUDHRA       -0.04        5.48        -6.63 None    None       182.69         78.57 None
  XTGLOBAL       -0.04       -0.10        58.13 None    None        53.06        -41.01 None
       ITI       -0.04       -0.18        -4.84 None    None       200.00         36.00 None
     PURVA       -0.05       -0.43         0.00 None    None       143.72       -302.94 None
    EMCURE       -0.05       -1.12        -0.16 None    None        35.03         52.48 None
SHREEPUSHK       -0.05       -7.61         7.75 None    None        50.89         50.00 None
   KUANTUM       -0.06       -0.01         0.01 None    None          NaN           NaN None
BERGEPAINT       -0.07        2.00         0.00 None    None        15.98         24.02 None
      LICI       -0.07        0.46         0.00 None    None        33.10       1701.81 None
COSMOFIRST       -0.07        0.35        -2.53 None    None        -5.10        -53.76 None
 STERTOOLS       -0.08        0.23        -5.13 None    None        10.47         -6.16 None
   THERMAX       -0.09        2.11         0.01 None    None        29.99        155.93 None
   ASALCBR       -0.09        0.01         2.77 None    None       493.33           NaN None
    539195       -0.12         NaN        -7.17 None    None         2.20         83.33 None
   NELCAST       -0.13       -0.01         0.34 None    None        12.54         50.00 None
    543363       -0.13       -0.02         0.00 None    None        17.77          8.09 None
     JCHAC       -0.13       -7.16         0.00 None    None          NaN           NaN None
 POWERMECH       -0.14       11.30        -6.79 None    None        73.09        107.69 None
  ARVSMART       -0.15        6.16        -2.16 None    None        70.00         71.43 None
    GRPLTD       -0.15        0.38        -1.70 None    None        -0.31         60.55 None
   NDRAUTO       -0.16       -0.59        -0.07 None    None       193.65        250.00 None
JTEKTINDIA       -0.17       10.63        22.66 None    None        64.51        233.33 None
    JGCHEM       -0.17        0.32         0.00 None    None        12.37         33.33 None
   BOROSCI       -0.18       -0.10        -0.12 None    None         9.64       -227.96 None
     SGLTL       -0.18       -1.23         0.00 None    None        25.36         75.00 None
      ATGL       -0.20        0.08         0.00 None    None        32.34         19.57 None
MAPMYINDIA       -0.21        7.26        -2.08 None    None        87.69         91.67 None
BHARTIHEXA       -0.21        0.67         0.00 None    None          NaN           NaN None
 POWERGRID       -0.22       10.01        -6.56 None    None         2.67         -4.47 None
UTKARSHBNK       -0.22      -10.21        -0.36 None    None          NaN           NaN None
BANSALWIRE       -0.23        3.08         0.02 None    None        71.35        129.41 None
 OSWALAGRO       -0.24       -2.61         5.15 None    None          NaN        325.00 None
       UEL       -0.26       -1.27        27.07 None    None          NaN           NaN None
FLUOROCHEM       -0.27        4.48        -5.80 None    None        -3.97        -39.27 None
       WEL       -0.27        0.00         0.00 None    None       -33.12        -37.64 None
  INDOFARM       -0.27       -1.09         0.00 None    None        28.42        121.63 None
  DWARKESH       -0.28       -6.25         0.23 None    None       -28.69       -640.00 None
    ENFUSE       -0.29        2.07         0.00 None    None          NaN           NaN None
DREDGECORP       -0.29       -5.95         0.00 None    None          NaN           NaN None
PARKHOTELS       -0.29       -6.59         0.00 None    None        10.00        -31.58 None
      KICL       -0.30       -1.51         6.32 None    None       147.01       -412.90 None
    KOPRAN       -0.30       -2.75        -0.52 None    None         7.64         -1.97 None
   STLTECH       -0.32       -0.01       -10.08 None    None       -31.47        141.67 None
    NAUKRI       -0.33        5.38        -4.80 None    None        44.61         17.47 None
 NTPCGREEN       -0.33       -0.62         0.00 None    None        52.47        292.86 None
    530675       -0.34         NaN        -0.71 None    None        85.91          7.14 None
      GAIL       -0.35        1.83        -3.09 None    None        -6.82        -26.73 None
   SUPRIYA       -0.35       -2.87         0.06 None    None          NaN           NaN None
  SUPRAJIT       -0.36        8.53        -2.28 None    None        33.80         77.78 None
       KSL       -0.36        7.36         4.10 None    None       266.12        588.89 None
  SIGNPOST       -0.37        0.01        -0.99 None    None       133.90         87.50 None
SHARDACROP       -0.40       -4.54         0.04 None    None        19.39        521.74 None
      TEGA       -0.42        9.43        -4.37 None    None        45.90         52.17 None
    ASHOKA       -0.42      -10.37        -2.19 None    None         0.43         68.15 None
  PNBGILTS       -0.48       -1.21         0.00 None    None          NaN           NaN None
      MRPL       -0.50       -1.74         0.00 None    None       -46.25       -109.98 None
 GODAVARIB       -0.51       -0.90         0.00 None    None       123.01         75.38 None
JISLDVREQS       -0.52       -1.56         0.00 None    None          NaN           NaN None
