===== Block 5 Diamond Ladder Ranking =====
    Ticker  FII_Change  DII_Change  Prom_Change  P_E EPS_TTM  SalesGrowth  ProfitGrowth ROCE
      CERA       10.27       -1.67        -0.34 None    None         6.30         17.50 None
    NEWGEN       10.12        0.98       -12.56 None    None        70.74        163.16 None
  ZEEMEDIA       10.11        4.01       -65.21 None    None       -11.89       -207.57 None
       KEC        9.96       -3.84        -0.76 None    None        51.39        303.23 None
       ACE        9.74        0.39        -7.69 None    None        30.92        117.78 None
    538833        9.72         NaN       -34.54 None    None          NaN           NaN None
    SHAILY        9.71        5.60       -10.37 None    None        41.14        355.56 None
  ANGELONE        9.65        4.46       -15.58 None    None        67.30        -37.36 None
  PETRONET        9.61       -6.83         0.00 None    None       -16.71         16.14 None
  PARADEEP        9.58       -3.18        -0.06 None    None        54.17        306.35 None
    ELECON        9.58       -4.26         0.70 None    None        49.70        316.67 None
  DECCANCE        9.35      -10.56         0.05 None    None       -12.21        400.00 None
   BAFNAPH        9.34       -0.25        41.58 None    None        -3.18         83.24 None
      BBTC        9.33       -3.93         0.04 None    None        24.79           NaN None
 ONWARDTEC        9.29        3.70       -26.11 None    None        41.49       1200.00 None
COROMANDEL        9.12        8.28        -5.09 None    None        22.92          0.60 None
  CAPACITE        8.97        1.69       -12.10 None    None        23.48         67.86 None
   LTFOODS        8.93        6.09       -16.19 None    None        52.95         76.84 None
   MANKIND        8.89        6.85        -3.83 None    None        63.76         49.33 None
PNBHOUSING        8.83       33.88       -11.00 None    None          NaN           NaN None
  ALLCARGO        8.83      -11.71        -6.64 None    None       -30.27       -138.08 None
SUNDRMFAST        8.79        5.30        -2.59 None    None         8.72          7.25 None
 BLACKBUCK        8.79        3.50        -0.41 None    None       144.07        194.44 None
       JSL        8.77        5.26       -13.90 None    None        25.72         40.75 None
 MINDACORP        8.75       -1.12        -0.49 None    None        37.23         25.00 None
    AVALON        8.67       22.01       -26.15 None    None        64.80         55.56 None
  SPANDANA        8.64        1.47       -14.42 None    None          NaN           NaN None
    517035        8.62        0.00       -11.63 None    None        73.49         50.81 None
       BLS        8.53        2.87        -3.85 None    None       160.44        483.87 None
   COFORGE        8.51       28.88       -30.72 None    None       101.69        106.98 None
      KDDL        8.40      -12.70         2.82 None    None        88.26         66.67 None
  USHAMART        8.33        8.15        -8.83 None    None        16.86         23.17 None
  KPIGREEN        8.26       -2.44        -2.43 None    None       394.26        404.55 None
 BALUFORGE        8.20        0.86        -1.15 None    None       339.62        714.29 None
   SYNGENE        8.19       15.52       -21.83 None    None        35.71         17.57 None
      GHCL        8.15        2.81         0.38 None    None       -30.66        -60.98 None
 TIPSMUSIC        8.11        4.08       -10.67 None    None          NaN           NaN None
      AFSL        8.00       -1.43        -0.62 None    None       651.59         73.68 None
EVERESTIND        7.98       -6.09         1.39 None    None        10.64        -92.31 None
      AIIL        7.94        0.15        74.95 None    None       879.84        -54.53 None
      NIBE        7.81        0.59        18.56 None    None       701.75        950.00 None
    TIMKEN        7.79       18.24       -23.95 None    None          NaN           NaN None
      SSWL        7.78        4.66         2.38 None    None        11.67         -4.08 None
   TECHNOE        7.76        0.47        -1.82 None    None       262.76        277.78 None
    ROHLTD        7.72        0.78        -6.91 None    None        31.67         -8.33 None
   RAINBOW        7.71        5.19         0.02 None    None        48.95         38.46 None
      NMDC        7.35       -2.25       -14.15 None    None        41.37         36.19 None
    539921        7.35         NaN        -0.08 None    None        79.62         -7.35 None
    517236        7.29        2.93        -1.28 None    None        15.09       1160.00 None
    538668        7.26         NaN         0.08 None    None         2.35        163.79 None
 TRANSTEEL        7.24       -2.71        -9.55 None    None          NaN           NaN None
   COHANCE        7.23        3.21         6.41 None    None        61.95        -57.41 None
       BIL        7.22       -0.25        11.82 None    None        23.77        297.87 None
  BLISSGVS        7.21        6.29       -24.72 None    None         9.52         62.96 None
ICICIPRULI        7.14        5.55        -7.76 None    None      1676.72         91.72 None
ENGINERSIN        7.13      -13.24        -8.05 None    None         6.75          0.00 None
   WELCORP        7.11       11.05         3.85 None    None       168.61      35000.00 None
 GARFIBRES        7.06        9.63         2.32 None    None        20.72         89.29 None
   KIRLPNU        7.04        9.90       -29.15 None    None       104.35        108.33 None
   PRAJIND        7.04       -2.95        -0.79 None    None       -12.54        -87.06 None
   JKPAPER        7.02       -5.01        -5.36 None    None        17.06        -67.80 None
     YASHO        6.98        0.94        -6.11 None    None        12.07        -81.21 None
 INDIAMART        6.97       12.21        -3.17 None    None        65.33        227.66 None
    NAZARA        6.96        1.68       -12.40 None    None       123.77        218.75 None
HARIOMPIPE        6.89       -0.15        -8.76 None    None        39.27         41.18 None
ORIENTELEC        6.88        8.00        -0.35 None    None          NaN           NaN None
    RALLIS        6.81        0.43         4.99 None    None        49.41      -1500.00 None
    NEOGEN        6.80        5.83       -18.79 None    None        26.35         -9.09 None
     TANLA        6.69        0.59        11.80 None    None        30.12         18.00 None
       SIS        6.66        0.86        -3.35 None    None        32.49         12.05 None
       HEG        6.64        1.11        -3.02 None    None       -14.54        -33.96 None
     PARAS        6.62       -0.69        -5.20 None    None       126.83        100.00 None
   POLYCAB        6.56       -1.62        -5.57 None    None       115.78        169.06 None
      SPIC        6.53       -3.15         3.95 None    None         3.99         -6.94 None
    CEMPRO        6.52      -22.83        15.83 None    None       131.51        356.67 None
    ITDCEM        6.52      -22.83        15.83 None    None       131.51        356.67 None
  MANYAVAR        6.42        1.21        -9.96 None    None        34.00         26.42 None
TORNTPHARM        6.42        0.61        -2.94 None    None        35.41         54.80 None
BLUESTARCO        6.34        2.75        -2.59 None    None        50.83         63.51 None
 GLOBUSSPR        6.33        5.88        -6.09 None    None       113.41        -45.45 None
    HIRECT        6.30        0.00        -0.53 None    None        56.93        550.00 None
     INDGN        6.25        3.36          NaN None    None        20.41        136.73 None
TATACONSUM        6.25        2.80        -1.88 None    None        43.64         19.86 None
FAIRCHEMOR        6.16        5.21       -12.86 None    None          NaN           NaN None
   SEQUENT        6.15      -14.31        -3.64 None    None        29.33        220.00 None
